127.0.0.1 - - [30/Aug/2024:14:08:44 +0200] "GET /wp-content/themes/demijngang/css/BradleyGratis.woff2 HTTP/1.0" 404 196
127.0.0.1 - - [30/Aug/2024:14:08:44 +0200] "GET /wp-content/themes/demijngang/css/BradleyGratis.woff HTTP/1.0" 404 196
127.0.0.1 - - [30/Aug/2024:14:08:44 +0200] "GET /wp-content/themes/demijngang/css/BradleyGratis.ttf HTTP/1.0" 404 196
127.0.0.1 - - [30/Aug/2024:14:08:44 +0200] "GET /wp-content/uploads/2024/06/cropped-20230909_267212992900283-32x32.webp HTTP/1.0" 200 264
127.0.0.1 - - [30/Aug/2024:14:08:46 +0200] "GET / HTTP/1.0" 200 60072
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-includes/css/dist/block-library/style.min.css?ver=6.6.1 HTTP/1.0" 200 112419
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17 HTTP/1.0" 200 11256
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-content/themes/demijngang/css/child-theme.min.css?ver=1.0.0 HTTP/1.0" 200 303830
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.6.1 HTTP/1.0" 200 4186
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-includes/js/jquery/jquery-migrate.min.js?ver=3.4.1 HTTP/1.0" 200 13577
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-content/plugins/events-manager/includes/css/events-manager.min.css?ver=6.5.2 HTTP/1.0" 200 271382
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-includes/js/jquery/ui/mouse.min.js?ver=1.13.3 HTTP/1.0" 200 3428
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-content/plugins/events-manager-pro/includes/css/events-manager-pro.css?ver=3.3.1 HTTP/1.0" 200 3955
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-includes/js/jquery/ui/sortable.min.js?ver=1.13.3 HTTP/1.0" 200 25504
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-includes/js/jquery/ui/datepicker.min.js?ver=1.13.3 HTTP/1.0" 200 36748
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-includes/js/jquery/ui/core.min.js?ver=1.13.3 HTTP/1.0" 200 21464
127.0.0.1 - - [30/Aug/2024:14:08:47 +0200] "GET /wp-includes/js/jquery/jquery.min.js?ver=3.7.1 HTTP/1.0" 200 87553
